lon_gom,lat_gom
-96.966386,31
-96.966386,25.9714542
-96.91448195,25.97797965
-96.88084275,25.98766965
-96.84430685,25.99818745
-96.82181655,26.0046554
-96.80984227,26.00809768
-96.74153635,26.00884245
-96.69330485,26.0089925
-96.64507325,26.0091265
-96.5968415,26.0092444
-96.5486097,26.0093462
-96.5003778,26.00943195
-96.4521458,26.00950155
-96.40391375,26.00955505
-96.35568165,26.0095925
-96.3287445,26.0096085
-96.3018168,26.0096154
-96.25360445,26.00961875
-96.2053937,26.00960605
-96.15718455,26.0095773
-96.1089771,26.00953245
-96.06077135,26.00947155
-96.0125673,26.0093946
-95.96436505,26.00930155
-95.91616465,26.00919245
-95.8824589,26.00910835
-95.8487468,26.00901295
-95.80053385,26.00886525
-95.75231945,26.0087015
-95.7041036,26.0085216
-95.64449975,26.0082785
-95.607673,26.00835795
-95.55946175,26.00853405
-95.5112471,26.00860965
-95.4630309,26.00866915
-95.41481325,26.0087126
-95.3665942,26.00874
-95.31837375,26.00875135
-95.270152,26.00874655
-95.22192895,26.00872565
-95.1737046,26.00868875
-95.12547905,26.00863575
-95.07725235,26.0085666
-95.0290245,26.0084814
-94.98079555,26.00838015
-94.9325656,26.00826275
-94.88433465,26.00812925
-94.83610265,26.0079797
-94.78786975,26.00781405
-94.74800915,26.00766615
-94.72389205,26.00757125
-94.69140135,26.00743445
-94.6431659,26.0072205
-94.59492975,26.00699045
-94.54669285,26.0067443
-94.49845525,26.0064821
-94.450217,26.0062038
-94.40197815,26.00590935
-94.35373875,26.0055988
-94.3054988,26.00527215
-94.2572584,26.00492945
-94.2090176,26.00457065
-94.1607764,26.00419575
-94.1125348,26.00380475
-94.0642929,26.0033976
-94.01605075,26.0029744
-93.96780835,26.0025351
-93.91956575,26.0020797
-93.871323,26.0016082
-93.82308015,26.0011206
-93.7748372,26.0006169
-93.7265942,26.00009705
-93.67835125,25.99956115
-93.6301084,25.99900915
-93.5818656,25.998441
-93.53362295,25.9978568
-93.4853805,25.99725655
-93.45315605,25.9968484
-93.42900965,25.9892986
-93.40434465,25.97784905
-93.3801931,25.96662975
-93.3405209,25.9481867
-93.3094085,25.9337156
-93.28527505,25.92248005
-93.23626479,25.89893795
-93.2163771,25.88880735
-93.19226065,25.8765126
-93.14750665,25.8536911
-93.1255017,25.8424684
-93.09931785,25.82910135
-93.0542749,25.8061106
-93.03465335,25.7961045
-92.98883833,25.76607693
-92.98088965,25.75314945
-92.9674912,25.73134665
-92.94327324,25.69197193
-92.9067474,25.67282775
-92.8586403,25.67073355
-92.82772645,25.66938125
-92.80367425,25.66832225
-92.75871915,25.66633045
-92.7143299,25.6643463
-92.6662302,25.6621816
-92.6181324,25.66000105
-92.57003655,25.6578046
-92.5128709,25.6551693
-92.4738512,25.6533201
-92.4257618,25.6510282
-92.37767455,25.6487205
-92.32958955,25.64639695
-92.2815068,25.6440576
-92.2334263,25.64170245
-92.18534815,25.6393314
-92.1472099,25.63744055
-92.0891993,25.63450325
-92.04112875,25.63204245
-91.9894318,25.62941575
-91.9449943,25.6271909
-91.8969306,25.62476975
-91.8488695,25.6223328
-91.82197285,25.620964
-91.79794425,25.6197337
-91.75770335,25.61766725
-91.70470195,25.6149317
-91.64162027,25.61510556
-91.6245159,25.61778095
-91.6004325,25.6215432
-91.5603134,25.6278011
-91.5121388,25.6353015
-91.463959,25.6427859
-91.41577405,25.65025425
-91.37253365,25.65694265
-91.34843735,25.6606648
-91.3186387,25.66557
-91.271175,25.6735094
-91.2229599,25.68155775
-91.1747393,25.68958995
-91.1297875,25.69706285
-91.10567315,25.70106685
-91.09632305,25.7026175
-91.07221585,25.7060072
-91.0300785,25.7115669
-90.9818645,25.71791385
-90.93364655,25.72424465
-90.88542465,25.73055935
-90.8373295,25.73684095
-90.81321565,25.7399862
-90.7889692,25.7431404
-90.7407357,25.7494067
-90.69249845,25.75565685
-90.64425745,25.7618909
-90.5960127,25.76810875
-90.5477643,25.7743104
-90.5184858,25.7780676
-90.50641266,25.7796141
-90.4514057,25.77973245
-90.4033171,25.778189
-90.3552312,25.77662965
-90.31914815,25.77545055
-90.2951073,25.774659
-90.2590678,25.77346345
-90.2109904,25.77185665
-90.1629159,25.770234
-90.11484435,25.7685955
-90.06677575,25.7669412
-90.01871015,25.76527105
-89.97064765,25.7635851
-89.9225883,25.76188335
-89.88269195,25.76045985
-89.8427502,25.7590212
-89.79460145,25.7572738
-89.7464525,25.75551045
-89.69830345,25.75373115
-89.6501543,25.75193585
-89.6020051,25.75012455
-89.55385585,25.74829725
-89.5057066,25.746454
-89.45755745,25.7445948
-89.4094084,25.74271965
-89.36125945,25.7408285
-89.31698735,25.7390761
-89.292913,25.73811855
-89.2649621,25.73699825
-89.2168138,25.7350592
-89.1686658,25.7331042
-89.12051815,25.7311332
-89.07237085,25.7291462
-89.02422395,25.7271433
-88.97607755,25.72512445
-88.92793165,25.7230896
-88.87978625,25.7210388
-88.83164145,25.71897205
-88.7834973,25.7168894
-88.7353538,25.7147908
-88.68721095,25.7126762
-88.63906885,25.71054565
-88.59092755,25.7083992
-88.5427871,25.7062368
-88.5162647,25.7050406
-88.4921951,25.70394745
-88.4465088,25.70186415
-88.40365595,25.69989815
-88.3795859,25.698667
-88.3502253,25.6966274
-88.30207775,25.6932729
-88.2539322,25.68990245
-88.2057886,25.68651605
-88.15764705,25.6831138
-88.1095076,25.67969555
-88.06137025,25.67626135
-88.01323505,25.67281125
-87.96510205,25.6693453
-87.93182015,25.66694105
-87.90775535,25.66519605
-87.8688428,25.66236555
-87.8207166,25.6588518
-87.7725928,25.65532215
-87.7244714,25.6517766
-87.67635245,25.6482151
-87.62823595,25.64463785
-87.58012195,25.6410447
-87.53201055,25.63743555
-87.48390175,25.6338106
-87.43579555,25.6301698
-87.3905848,25.6267339
-87.3665337,25.6249016
-87.3395912,25.6228406
-87.29149315,25.61915215
-87.2433979,25.61544795
-87.1953055,25.61172795
-87.1472159,25.60799205
-87.09912925,25.6042403
-87.04181969,25.59099144
-87.03281645,25.5654814
-87.0251249,25.5436825
-87.01648941,25.51919301
-86.99025445,25.48755655
-86.95615675,25.4657482
-86.9321492,25.4503892
-86.9069347,25.4342421
-86.87408065,25.41319815
-86.8500974,25.39782335
-86.81604905,25.3759833
-86.79207805,25.36060065
-86.7630719,25.34197
-86.7340954,25.32335445
-86.7101487,25.30795615
-86.6761498,25.28608475
-86.6522152,25.2706786
-86.61942795,25.24955685
-86.59431855,25.2333778
-86.57323245,25.2197785
-86.5505081,25.20537925
-86.53413035,25.19630345
-86.5102232,25.1830515
-86.4759718,25.16405045
-86.4467821,25.147852
-86.4228958,25.1345846
-86.38338065,25.1126241
-86.35950475,25.09934905
-86.3326851,25.08442305
-86.29615325,25.06408515
-86.2722982,25.05079475
-86.23726485,25.0312615
-86.20899685,25.01549515
-86.18516265,25.0021895
-86.1457354,24.98016755
-86.1219116,24.96685435
-86.0942908,24.95140495
-86.0587004,24.9314913
-86.0348974,24.9181629
-85.98764445,24.8915208
-85.9721085,24.8826048
-85.9483291,24.86894835
-85.90990715,24.84687305
-85.8861384,24.83320925
-85.85643445,24.81611855
-85.82398695,24.7974436
-85.8002394,24.78376485
-85.7618755,24.7616519
-85.7381386,24.74796535
-85.7051111,24.7304745
-85.66945195,24.7136407
-85.64570875,24.7024278
-85.6190014,24.68980285
-85.57495435,24.6689706
-85.55122875,24.6577429
-85.5161645,24.6410361
-85.48100275,24.62414995
-85.4572966,24.6127603
-85.42927505,24.5992848
-85.3872758,24.5790777
-85.36358745,24.5676734
-85.3345217,24.5536676
-85.29362085,24.5339493
-85.2699504,24.52253035
-85.23983985,24.50799195
-85.20003805,24.488765
-85.1763854,24.47733155
-85.1452293,24.4622582
-85.1135706,24.44693655
-85.08300145,24.43196595
-85.05069645,24.4160707
-85.01390105,24.3979576
-84.98992225,24.3861681
-84.9562386,24.3696384
-84.921025,24.3523499
-84.89742815,24.34075605
-84.8618512,24.323263
-84.82821945,24.30671865
-84.8046407,24.2951105
-84.7564179,24.2719108
-84.73331545,24.26155445
-84.7097357,24.2509783
-84.67321595,24.234586
-84.6319943,24.21675655
-84.6110154,24.2081798
-84.5789069,24.19521415
-84.53176325,24.17616345
-84.50771275,24.16643945
-84.4760826,24.1541507
-84.437485,24.1398335
-84.3998374,24.1258591
-84.37627535,24.11710635
-84.3432368,24.1048225
-84.29613385,24.0872959
-84.26771465,24.0767143
-84.2441738,24.0679404
-84.2019704,24.05220045
-84.15923655,24.0362486
-84.13570985,24.02746075
-84.1078636,24.01704905
-84.0608315,23.9994524
-84.02732895,23.98690795
-84.00866948,23.97991601
-83.96670575,23.96864325
-83.93174585,23.96021355
-83.89652535,23.9517085
-83.8645167,23.94397445
-83.8406871,23.9382097
-83.79035225,23.9257944
-83.7535399,23.9162245
-83.7129795,23.9056712
-83.6877019,23.8994954
-83.65828175,23.89395195
-83.61070685,23.88497805
-83.56873816,23.87704925
-83.5155989,23.8683595
-83.48101815,23.8631598
-83.45725685,23.859581
-83.41367905,23.8532271
-83.3730506,23.84761515
-83.32554855,23.84104095
-83.27804995,23.83445195
-83.2284439,23.82989935
-83.1831849,23.82851465
-83.135779,23.82705045
-83.0883729,23.82557165
-83.05448815,23.8245072
-83.030785,23.82375685
-83.00863175,23.82305285
-83.00863175,23.8237725
-83.00863175,23.84656375
-83.00863175,23.89015675
-83.00863175,23.93374955
-83.00863175,31